"","Restaurant","Product_Name","Price","User-Rating","No-Ratings","Address","Feature1","Feature2","Feature3","Feature4","Feature5","City","ProperAddress","Location","RestaurantLatitude","RestaurantLongitude","CenterLatitude","CenterLongitude","DistanceCityCenter","DistanceCEU","size"
"13","Boss Pizzéria és Hamburger Bár","Margaréta pizza","3738",5,1,"Dorozsmai út 191","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Szeged","Szeged Dorozsmai út 191","Dorozsmai út, Iparváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6728, Magyarország",46.2668937,20.1075888,46.2546312,20.1486016,"3.44330518928121 km","159.10532860448365 km","50"
"14","Boss Pizzéria és Hamburger Bár","Margaréta pizza","1415",5,1,"Dorozsmai út 191","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Szeged","Szeged Dorozsmai út 191","Dorozsmai út, Iparváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6728, Magyarország",46.2668937,20.1075888,46.2546312,20.1486016,"3.44330518928121 km","159.10532860448365 km","30"
"15","Boss Pizzéria és Hamburger Bár","Margaréta pizza","1218",5,1,"Dorozsmai út 191","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Szeged","Szeged Dorozsmai út 191","Dorozsmai út, Iparváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6728, Magyarország",46.2668937,20.1075888,46.2546312,20.1486016,"3.44330518928121 km","159.10532860448365 km","26"
"16","Boulevard Kitchen","Marghareta pizza","1950",4.2,7,"Erzsébet körút 12","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás",NA,"Budapest","Budapest Erzsébet körút 12","10-12, Erzsébet körút, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1073, Magyarország",47.4987101,19.0698424,47.4983815,19.0404707,"2.213331290057507 km","1.5034436615730813 km","32"
"17","Campus ízmûvek és látványpizzéria","Margherita pizza","1690",4.6,13,"Vitéz utca 24","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás",NA,"Szeged","Szeged Vitéz utca 24","Campus Beer&More, 24, Vitéz utca, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6722, Magyarország",46.2475652,20.1425832573915,46.2546312,20.1486016,"0.9122922357742583 km","162.32078684880187 km","32"
"18","Campus ízmûvek és látványpizzéria","Campus margherita prémium pizza vargányával fûszerezve","3090",4.6,13,"Vitéz utca 24","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás",NA,"Szeged","Szeged Vitéz utca 24","Campus Beer&More, 24, Vitéz utca, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6722, Magyarország",46.2475652,20.1425832573915,46.2546312,20.1486016,"0.9122922357742583 km","162.32078684880187 km","32"
"19","Campus ízmûvek és látványpizzéria","Margherita prima pizza","2090",4.6,13,"Vitéz utca 24","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás",NA,"Szeged","Szeged Vitéz utca 24","Campus Beer&More, 24, Vitéz utca, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6722, Magyarország",46.2475652,20.1425832573915,46.2546312,20.1486016,"0.9122922357742583 km","162.32078684880187 km","32"
"20","Casa Mia Trattoria","Margherita pizza","1690",4.2,12,"Pozsonyi út 37","Olasz","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,"Budapest","Budapest Pozsonyi út 37","Pozsonyi út, Újlipótváros, XIII. kerület, Budapest, Közép-Magyarország, 1137, Magyarország",47.5154445,19.0495356,47.4983815,19.0404707,"2.016244466333202 km","1.6157260543982652 km","32"
"21","Casanova Pizza","Margaréta pizza","2490",3.5,112,"Baross Gábor utca 27","Olasz","Magyaros","Mexikói","Hamburger","Amerikai","Debrecen","Debrecen Baross Gábor utca 27","Baross Gábor utca, Kandia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4029, Magyarország",47.5300366,21.6376453,47.531399,21.6259782,"0.8914907305111487 km","194.9112600525048 km","45"
"22","Casanova Pizza","Margaréta pizza","1290",3.5,112,"Baross Gábor utca 27","Olasz","Magyaros","Mexikói","Hamburger","Amerikai","Debrecen","Debrecen Baross Gábor utca 27","Baross Gábor utca, Kandia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4029, Magyarország",47.5300366,21.6376453,47.531399,21.6259782,"0.8914907305111487 km","194.9112600525048 km","30"
"23","Casanova Pizza","Margaréta pizza","1290",3.5,112,"Baross Gábor utca 27","Olasz","Magyaros","Mexikói","Hamburger","Amerikai","Debrecen","Debrecen Baross Gábor utca 27","Baross Gábor utca, Kandia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4029, Magyarország",47.5300366,21.6376453,47.531399,21.6259782,"0.8914907305111487 km","194.9112600525048 km","25"
"24","Casanova Pizza","Margaréta pizza","3590",3.5,112,"Baross Gábor utca 27","Olasz","Magyaros","Mexikói","Hamburger","Amerikai","Debrecen","Debrecen Baross Gábor utca 27","Baross Gábor utca, Kandia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4029, Magyarország",47.5300366,21.6376453,47.531399,21.6259782,"0.8914907305111487 km","194.9112600525048 km","60"
"25","Chef House","Margarita","1450",4.7,50,"Egyetemváros A/6.","Pizza","Magyaros","Hamburger","Készpénzes fizetés",NA,"Miskolc","Miskolc Egyetemváros A/6.","Egyetemváros, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3515, Magyarország",48.0811234,20.766029,48.1031503,20.7901985,"3.03978018398194 km","143.83670224896508 km","32"
"26","Clooney Étterem és Pizza","Margherita pizza","1790",2.8,5,"Nyugati tér 6","Magyaros","Hamburger","Pizza","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Nyugati tér 6","Nyugati tér, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1065, Magyarország",47.5103735,19.0556197,47.4983815,19.0404707,"1.7550393055960771 km","1.1289679080478827 km","32"
"27","Da Giovanni Pizzéria - 7. kerület","Margherita pizza","1420",4.3,12,"Dohány utca 88","Olasz","Pizza","Algida","Készpénzes fizetés","SZÉP kártyás fizetés","Budapest","Budapest Dohány utca 88","Budapesti Bárczi Gusztáv Óvoda, Általános Iskola és Készségfejlesztõ Speciális Szakiskola, 88, Dohány utca, Ligetváros, Erzsébetváros, VII. kerület, Budapest, Közép-Magyarország, 1074, Magyarország",47.5004935,19.0730636,47.4983815,19.0404707,"2.4668924559479533 km","1.7265794059095618 km","32"
"28","Da Mario Budapest","Margerita con cotto pizza","2900",NA,NA,"Vécsey utca 3","Pizza","Tészta","Olasz","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Vécsey utca 3","Da Mario, 3, Vécsey utca, Lipótváros, Budapest, Közép-Magyarország, 1054, Magyarország",47.505243,19.049433,47.4983815,19.0404707,"1.0187726535384314 km","0.4839131571813348 km","32"
"29","Da Mario Budapest","Margherita con prosciutto di Parma pizza","3500",NA,NA,"Vécsey utca 3","Pizza","Tészta","Olasz","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Vécsey utca 3","Da Mario, 3, Vécsey utca, Lipótváros, Budapest, Közép-Magyarország, 1054, Magyarország",47.505243,19.049433,47.4983815,19.0404707,"1.0187726535384314 km","0.4839131571813348 km","32"
"30","Da Mario Budapest","Margerita pizza","2400",NA,NA,"Vécsey utca 3","Pizza","Tészta","Olasz","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Vécsey utca 3","Da Mario, 3, Vécsey utca, Lipótváros, Budapest, Közép-Magyarország, 1054, Magyarország",47.505243,19.049433,47.4983815,19.0404707,"1.0187726535384314 km","0.4839131571813348 km","32"
"31","Den Haag Pizzéria","Margaréta pizza","1500",4.8,51,"Dohány utca 5","Pizza","Algida","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás","Budapest","Budapest Dohány utca 5","KOLBice Dohány STR, 5/a, Dohány utca, Erzsébetváros, Budapest, Közép-Magyarország, 1074, Magyarország",47.4954114,19.0614601,47.4983815,19.0404707,"1.6156161759081067 km","1.0489513320142745 km","28"
"32","Diablo Pizzéria Miskolc","Margaréta pizza","990",4.3,239,"Csabai kapu 26","Olasz","Magyaros","Vegetariánus","Pizza","Vegetáriánus","Miskolc","Miskolc Csabai kapu 26","Csabai kapu, Csermõke, Népkert, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3529, Magyarország",48.0939833,20.785703,48.1031503,20.7901985,"1.0728876747471512 km","145.7823317011219 km","24"
"33","Diablo Pizzéria Miskolc","Margaréta pizza","1350",4.3,239,"Csabai kapu 26","Olasz","Magyaros","Vegetariánus","Pizza","Vegetáriánus","Miskolc","Miskolc Csabai kapu 26","Csabai kapu, Csermõke, Népkert, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3529, Magyarország",48.0939833,20.785703,48.1031503,20.7901985,"1.0728876747471512 km","145.7823317011219 km","32"
"34","Diablo Pizzéria Miskolc","Margaréta pizza","3090",4.3,239,"Csabai kapu 26","Olasz","Magyaros","Vegetariánus","Pizza","Vegetáriánus","Miskolc","Miskolc Csabai kapu 26","Csabai kapu, Csermõke, Népkert, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3529, Magyarország",48.0939833,20.785703,48.1031503,20.7901985,"1.0728876747471512 km","145.7823317011219 km","50"
"35","Dolce Vita Pizza","Margherita pizza","2150",4.9,44,"Erkel utca 9","Olasz","Pizza","Algida","Készpénzes fizetés",NA,"Budapest","Budapest Erkel utca 9","9, Erkel utca, Belsõ-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1092, Magyarország",47.48676695,19.0622189527671,47.4983815,19.0404707,"2.0864374130674737 km","1.8170443113365586 km","32"
"36","Don Pepe - Pécs","Pepe margaritája pizza","1890",4.7,878,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","173.60471477782158 km","32"
"37","Don Pepe - Pécs","LightCarb Vegán Pepe margaritája pizza normál tésztával","1990",4.7,878,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","173.60471477782158 km","32"
"38","Don Pepe - Pécs","LightCarb Vegán Pepe margaritája pizza vékony tésztával","1990",4.7,878,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","173.60471477782158 km","32"
"39","Don Pepe - Pécs","LightCarb Pepe margaritája pizza vékony tésztával","1890",4.7,878,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","173.60471477782158 km","32"
"40","Don Pepe - Pécs","Pepe margaritája pizza vékony tésztával","1890",4.7,878,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","173.60471477782158 km","32"
"41","Don Pepe - Pécs","LightCarb Pepe margaritája pizza normál tésztával","1890",4.7,878,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","173.60471477782158 km","32"
"42","Don Pepe - Pécs","Vegán Pepe margaritája pizza vékony tésztával","1990",4.7,878,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","173.60471477782158 km","32"
"43","Don Pepe - Pécs","XXL Pepe margaritája pizza","5100",4.7,878,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","173.60471477782158 km","55"
"44","Don Pepe - Pécs","XXL Vegán Pepe margaritája pizza normál tésztával","5400",4.7,878,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","173.60471477782158 km","55"
"45","Don Pepe - Pécs","Vegán Pepe margaritája pizza normál tésztával","1990",4.7,878,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","173.60471477782158 km","32"
"46","Donkey Pizza","Margherita pizza","1400",4.7,479,"Rákóczi út 50","Pizza","Algida","Készpénzes fizetés",NA,NA,"Pécs","Pécs Rákóczi út 50","Rákóczi út, Puturluk, Budai városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7626, Magyarország",46.0748645,18.2398524,46.0763222,18.2280746,"0.9253990501481445 km","170.17310681187567 km","32"
"47","Donkey Pizza","Margherita kocka pizza","5100",4.7,479,"Rákóczi út 50","Pizza","Algida","Készpénzes fizetés",NA,NA,"Pécs","Pécs Rákóczi út 50","Rákóczi út, Puturluk, Budai városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7626, Magyarország",46.0748645,18.2398524,46.0763222,18.2280746,"0.9253990501481445 km","170.17310681187567 km","6060"
"48","Donkey Pizza","Margherita kocka pizza","1700",4.7,479,"Rákóczi út 50","Pizza","Algida","Készpénzes fizetés",NA,NA,"Pécs","Pécs Rákóczi út 50","Rákóczi út, Puturluk, Budai városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7626, Magyarország",46.0748645,18.2398524,46.0763222,18.2280746,"0.9253990501481445 km","170.17310681187567 km","3232"
"49","Donkey Pizza","Margherita pizza","2800",4.7,479,"Rákóczi út 50","Pizza","Algida","Készpénzes fizetés",NA,NA,"Pécs","Pécs Rákóczi út 50","Rákóczi út, Puturluk, Budai városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7626, Magyarország",46.0748645,18.2398524,46.0763222,18.2280746,"0.9253990501481445 km","170.17310681187567 km","45"
"50","Donkey Pizza","Margherita pizza","3550",4.7,479,"Rákóczi út 50","Pizza","Algida","Készpénzes fizetés",NA,NA,"Pécs","Pécs Rákóczi út 50","Rákóczi út, Puturluk, Budai városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7626, Magyarország",46.0748645,18.2398524,46.0763222,18.2280746,"0.9253990501481445 km","170.17310681187567 km","60"
"51","Döner-Kebab Pizzéria","Margaréta pizza","2500",4.7,522,"Mikepércsi út 10","Pizza","Magyaros","Görög","Török","Készpénzes fizetés","Debrecen","Debrecen Mikepércsi út 10","Mikepércsi út, Epreskert, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4030, Magyarország",47.5019142,21.6309493,47.531399,21.6259782,"3.2994604811186194 km","194.43205673808913 km","45"
"52","Döner-Kebab Pizzéria","Margaréta pizza","1090",4.7,522,"Mikepércsi út 10","Pizza","Magyaros","Görög","Török","Készpénzes fizetés","Debrecen","Debrecen Mikepércsi út 10","Mikepércsi út, Epreskert, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4030, Magyarország",47.5019142,21.6309493,47.531399,21.6259782,"3.2994604811186194 km","194.43205673808913 km","30"
"53","Döner-Kebab Pizzéria","Margaréta pizza","2090",4.7,522,"Mikepércsi út 10","Pizza","Magyaros","Görög","Török","Készpénzes fizetés","Debrecen","Debrecen Mikepércsi út 10","Mikepércsi út, Epreskert, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4030, Magyarország",47.5019142,21.6309493,47.531399,21.6259782,"3.2994604811186194 km","194.43205673808913 km","38"
"54","Duna Döner Szeged","Margarita pizza","1700",4.7,450,"Oskola utca 23","Pizza","Hamburger","Grill","Török","NetPincér GO","Szeged","Szeged Oskola utca 23","Duna Döner, 23, Oskola utca, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6720, Magyarország",46.250014,20.1491409,46.2546312,20.1486016,"0.5149126536756814 km","162.34359773884356 km","30"
"55","Elefántos Étterem és Pizzéria","Margherita pizza","1450",4.6,49,"Jókai tér 6","Pizza","Olasz","Algida","Készpénzes fizetés","SZÉP kártyás fizetés","Pécs","Pécs Jókai tér 6","Elefántos étterem és pizzéria, 6, Jókai tér, Schlauch-villatelep, Belváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7621, Magyarország",46.0756034,18.2273436,46.0763222,18.2280746,"0.09788341736701789 km","170.44610224431275 km","32"
"56","Enrico from Sicily","Enrico Margherita pizza","1890",3.9,35,"Váci utca 41","Pizza","Olasz","Készpénzes fizetés","SZÉP kártyás fizetés",NA,"Budapest","Budapest Váci utca 41","Paparazzi, 41/a, Váci utca, Belváros, Budapest, Közép-Magyarország, 1056, Magyarország",47.4915752,19.0537983,47.4983815,19.0404707,"1.257435597577912 km","1.074401314601633 km","32"
"57","Ernesto Pizzéria - Pécs","E - Margherita pizza","1450",4.3,66,"József Attila utca 41","Olasz","Magyaros","Hamburger","Amerikai","Pizza","Pécs","Pécs József Attila utca 41","Gól sörözõ, 41, József Attila utca, Solidus Lakópark, Ispitaalja, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.070713,18.215733,46.0763222,18.2280746,"1.140298312187121 km","171.2803071824634 km","32"
"58","Ernesto Pizzéria - Pécs","E - Margherita pizza","2330",4.3,66,"József Attila utca 41","Olasz","Magyaros","Hamburger","Amerikai","Pizza","Pécs","Pécs József Attila utca 41","Gól sörözõ, 41, József Attila utca, Solidus Lakópark, Ispitaalja, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.070713,18.215733,46.0763222,18.2280746,"1.140298312187121 km","171.2803071824634 km","45"
"59","Ernesto Pizzéria - Pécs","E - Margherita pizza","3160",4.3,66,"József Attila utca 41","Olasz","Magyaros","Hamburger","Amerikai","Pizza","Pécs","Pécs József Attila utca 41","Gól sörözõ, 41, József Attila utca, Solidus Lakópark, Ispitaalja, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.070713,18.215733,46.0763222,18.2280746,"1.140298312187121 km","171.2803071824634 km","52"
"60","Etna Házhozszállítás","Gluténmentes Margherita pizza","2200",4.7,226,"Kertész utca 48","Olasz","Pizza","Ételérzékenyeknek is","Készpénzes fizetés",NA,"Budapest","Budapest Kertész utca 48","Szimpla kávézó, 48, Kertész utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1073, Magyarország",47.5022659,19.0649928,47.4983815,19.0404707,"1.8973746813250858 km","1.1278386238578129 km","30"
"61","Etna Házhozszállítás","Etna Class Margherita pizza","2100",4.7,226,"Kertész utca 48","Olasz","Pizza","Ételérzékenyeknek is","Készpénzes fizetés",NA,"Budapest","Budapest Kertész utca 48","Szimpla kávézó, 48, Kertész utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1073, Magyarország",47.5022659,19.0649928,47.4983815,19.0404707,"1.8973746813250858 km","1.1278386238578129 km","32"
"62","Európa Pizzéria","Margherita pizza","1690",NA,NA,"Váci utca 45","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás",NA,"Budapest","Budapest Váci utca 45","Európa Kávézó, 45, Váci utca, Belváros, Budapest, Közép-Magyarország, 1056, Magyarország",47.4909367,19.0543783,47.4983815,19.0404707,"1.3354112103205165 km","1.1544511281116037 km","32"
"63","Fõnix Pizzéria","Margherita vegán pizza","1690",4.8,371,"Hunyadi utca 2","Olasz","Pizza","Készpénzes fizetés",NA,NA,"Pécs","Pécs Hunyadi utca 2","Hunyadi János utca, Zidina, Mecsekoldal, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7625, Magyarország",46.0890802,18.2240858,46.0763222,18.2280746,"1.4512630456391997 km","169.14416351590728 km","32"
